RFpower,P_out_W,P_out_dBm,P_dc_total,P_in_W,P_in_dBm,Gain,PAE,Efficiency
-10.0,0.02114908250761493,13.252915314972093,3.093944235187072,9.794365208465223e-05,-10.090237062128288,23.34315237710038,0.6803981343980959,0.6835637910693038
-9.0,0.026447636100085666,14.223868606975776,3.092291076880679,0.0001232477286075781,-9.092210758015227,23.316079364991005,0.8512907652287566,0.8552764097086385
-8.0,0.03302084131049277,15.187881340948541,3.0902761324870784,0.00015507132463672802,-8.094685033044023,23.282566373992566,1.0635221118381228,1.0685401528800387
-7.0,0.04114856774155123,16.143547233206775,3.087825425368144,0.00019508381167966435,-7.097787674577894,23.24133490778467,1.326288837232076,1.3326066753480832
-6.0,0.051159477204519535,17.089260978012916,3.084850330083147,0.0002453760140171554,-6.101678926649065,23.19093990466198,1.6504561240457354,1.6584103515693294
-5.0,0.06343386412815358,18.023211676235377,3.0812444014344154,0.0003085631409084134,-5.106559533737702,23.12977120997308,2.0486950323660915,2.0587092701449823
-4.0,0.07840395952718748,18.943379958143673,3.0768795977338366,0.00038791087381240795,-4.1126804620418085,23.05606042018548,2.5355574105283467,2.5481646920774237
-3.0,0.09655015767972397,19.847529873787806,3.071601865890545,0.00048748871469092,-3.1203543371762947,22.9678842109641,3.1274453252482886,3.143316155387584
-2.0,0.11838072000699815,20.7328097707962,3.0652107745332176,0.0006123557973870771,-2.1299616618364396,22.86277143263264,3.8420967715522045,3.8620743796982646
-1.0,0.14442788826333813,21.596510613045886,3.0574531457763827,0.0007687804210118664,-1.1419768563449395,22.738487469390826,4.698652799987446,4.723797271034333
0.0,0.17524580287626226,22.436476254432222,3.0480344752238064,0.0009644968429570268,-0.15699189573840755,22.59346815017063,5.717825944882344,5.749469184182852
1.0,0.21137473799331252,23.250530822823016,3.036583645518329,0.001209002348845968,0.8242714460754783,22.426259376747538,6.921124532651969,6.960939090391234
2.0,0.25345491998204356,24.039007260203153,3.0227040921535964,0.0015138799812828695,1.8009144614644157,22.238092798738737,8.334955467680574,8.385039099261075
3.0,0.30247857737929035,24.80694621780501,3.0060233531466585,0.0018931171755036205,2.771774956857797,22.035171260947212,9.999438623427146,10.062416084115265
4.0,0.360420866657324,25.56809926623882,2.9863940572701155,0.0023632870397159015,3.735164733014102,21.83293453322472,11.989629390868503,12.06876452824137
5.0,0.4317918060720529,26.35274396656255,2.965022162373925,0.0029429935419029206,4.687893090860186,21.664850875702363,14.463595516156113,14.562852566550184
6.0,0.5228243593671394,27.1835581397407,2.951519336521606,0.0036489339120418744,5.621659976766654,21.561898162974046,17.590107543288223,17.71373654571049
7.0,0.5879128897328031,27.693129820099067,2.9735628227416004,0.00446901417898108,6.502117325622329,21.191012494476738,19.621037466963337,19.77132903453347
8.0,0.5958207240364416,27.75115604918201,2.9888086259276543,0.005409650364779541,7.331691967971775,20.419464081210236,19.75406081707264,19.9350576971623
9.0,0.5973244610471087,27.76210299914091,2.9797631942784735,0.006548825024792915,8.161633868584733,19.600469130556178,19.826261266555697,20.046037960132136
10.0,0.6034920514654126,27.80671554421034,2.9498068198880896,0.008088651949286011,9.078761483404321,18.72795406080602,20.184487862114143,20.458697410168305
11.0,0.6174376072965108,27.905930782460835,2.946493123324374,0.01033087286128648,10.14137016856062,17.764560613900215,20.604383211668843,20.954999093969995
12.0,0.6324457635593612,28.010232877975156,2.9512701390847687,0.013440687010928853,11.284214679313422,16.726018198661734,20.9741923774011,21.429612802421797
13.0,0.6494090497563149,28.125183363870647,2.8826222107509967,0.017548196559213188,12.442324903387636,15.682858460483011,21.9196553346644,22.52841344711374
14.0,0.6222429788838002,27.939600049202845,2.7910320567449896,0.022648590166646762,13.550411731522914,14.389188317679931,21.482891508470303,22.294368757967053
15.0,0.6163585550221027,27.89833428342387,2.7390840763434627,0.0281818792834878,14.499699502792122,13.398634780631749,21.473480161434132,22.502359834273868
16.0,0.6255886194305778,27.962888395347562,2.732356426265973,0.03398517095850883,15.312894589324095,12.649993806023467,21.651767052973824,22.89557150805192
17.0,0.6260943706397147,27.966397989598498,2.6777205768639334,0.039290147905377173,15.94283663690102,12.023561352697477,21.914318760682086,23.381617038360957
18.0,0.626080837926162,27.96630411802556,2.647856743507592,0.04643986001591484,16.668909019707705,11.297395098317853,21.89094932463763,23.644815357223532
19.0,0.6284522548489366,27.982722887947883,2.6414083678861697,0.055980500516916776,17.480367771377054,10.502355116570829,21.67297420921513,23.792317102102082
20.0,0.6315383358249261,28.00399718362287,2.634279283270558,0.06656867182464493,18.232698920127792,9.77129826349508,21.446840036598168,23.973856524462633
